Country,RankCountry,FinalScore,ActivePersonnel,Submarines,Tanks,Aircraft,AttackHelicopters,AircraftCarriers
UnitedStates,01 USA,0.94,0.9,0.95,0.86,0.95,0.95,0.95
Russia,02 Russia,0.8,0.81,0.86,0.95,0.9,0.9,0.52
China,03 China,0.79,0.95,0.9,0.9,0.86,0.86,0.52
Japan,04 Japan,0.72,0.38,0.81,0.38,0.76,0.81,0.76
India,05 India,0.69,0.86,0.76,0.81,0.81,0.19,0.76
France,06 France,0.61,0.33,0.57,0.24,0.67,0.43,0.9
SouthKorea,07 S Korea,0.52,0.76,0.67,0.57,0.71,0.71,0.05
Italy,08 Italy,0.52,0.52,0.43,0.33,0.38,0.57,0.76
UnitedKingdom,09 UK,0.5,0.19,0.57,0.14,0.52,0.67,0.52
Turkey,10 Turkey,0.47,0.57,0.67,0.67,0.57,0.57,0.05
Pakistan,11 Pakistan,0.41,0.71,0.52,0.62,0.48,0.48,0.05
Egypt,12 Egypt,0.34,0.62,0.14,0.76,0.62,0.38,0.05
Taiwan,13 Taiwan,0.32,0.43,0.14,0.52,0.43,0.76,0.05
Israel,14 Israel,0.32,0.24,0.33,0.71,0.33,0.48,0.05
Australia,15 Australia,0.3,0.05,0.43,0.05,0.1,0.24,0.52
Thailand,16 Thailand,0.28,0.48,0.05,0.43,0.24,0.14,0.52
Poland,17 Poland,0.23,0.14,0.33,0.48,0.19,0.29,0.05
Germany,18 Germany,0.19,0.29,0.14,0.19,0.29,0.33,0.05
Indonesia,19 Indonesia,0.12,0.67,0.1,0.29,0.05,0.1,0.05
Canada,20 Canada,0.1,0.1,0.14,0.1,0.14,0.05,0.05
